无人机编号,X(m),Y(高度),Z(侧向)
1,5000,50,-100
2,5000,50,-90
3,5000,50,-80
4,5000,50,-70
5,5000,50,-60
6,5000,50,-50
7,5000,50,-40
8,5000,50,-30
9,5000,20,-575
10,5000,20,-570
11,5000,20,-565
12,5000,20,-560
13,5000,20,-555
14,5000,20,-550
15,5000,20,-545
16,5000,20,-540
17,4800,10,540
18,4800,10,545
19,4800,10,550
20,4800,10,555
21,4800,10,560
22,4800,10,565
23,4800,10,570
24,4800,10,575
